Target,City,Correlation_Raw,Correlation_Transformed,Granger_p_value,Variance_Ratio,Selection_Tier
Barcelona,City_1,0.7887003283582595,0.018510256636959124,0.4877732539300006,3.9366508756374214,None
Barcelona,City_10,0.10049197334692414,0.10049197334692414,0.44184006256367214,1.2201454598083934,None
Barcelona,City_11,0.8059679701683984,0.09453396535464172,0.432196628368974,3.9233274174880526,None
Barcelona,City_12,0.9633383432894106,0.7264035485436816,0.004295210165636706,1.0631625232551114,Tier 2 (Fallback)
Barcelona,City_13,0.1608920742169277,0.13413563334506368,0.9231246014629102,3.027329262393357,None
Barcelona,City_14,0.9640642981232043,,,,None
Barcelona,City_15,0.029946308417221654,0.029946308417221658,0.605898808735129,0.5746457823403919,None
Barcelona,City_16,0.7992459679007371,0.2900764725680941,0.6934509187670481,4.297863002577046,None
Barcelona,City_17,0.9659247998208764,0.7744133882138272,0.9327711980546396,0.9984625863090564,Tier 2 (Fallback)
Barcelona,City_18,0.9644073435469703,0.9644073435469703,0.00017046310662799112,1.124694343555875,Tier 1 (Strict)
Barcelona,City_19,0.9636068523110936,0.7604132608847776,0.6519285354090066,1.0974423811310459,Tier 2 (Fallback)
Barcelona,City_2,0.9642005395294394,0.7341298391076487,0.751504906643507,1.0155907214969548,Tier 2 (Fallback)
Barcelona,City_20,0.8352184650027772,0.24616388168869843,0.001673667576528211,4.187049450282486,None
Barcelona,City_3,0.15940577181775806,0.15940577181775806,0.2503884856091533,1.3324048031937445,None
Barcelona,City_4,0.07426778942259264,0.07426778942259264,0.8442979902193721,1.198180186563789,None
Barcelona,City_5,0.7600302075760814,0.07265565768109215,0.1347115605980683,4.061951819867,None
Barcelona,City_6,0.059115965109245626,0.059115965109245626,0.730546902769045,1.1791951802315388,None
Barcelona,City_7,0.13080486172984718,0.13080486172984718,0.6442216123202597,1.26910059211033,None
Barcelona,City_8,0.9666633824577714,,,,None
Barcelona,City_9,0.9645811587173176,0.7518190337544428,0.5560755204549275,0.9883613734605019,Tier 2 (Fallback)
Barcelona,City_High_Variance,0.5093907025442724,0.14233308141623172,0.09641896919155243,8.357202456772018,None
Barcelona,City_Spurious,0.8380931958347277,0.03267030793401422,0.14043348561057942,2.7029995300851333,None
City_1,Barcelona,0.7887003283582595,0.018510256636959124,0.40751717914850816,0.2540230341960615,None
City_1,City_10,0.023248922234162056,0.023248922234162056,0.8047303400307125,0.8158143082672845,None
City_1,City_11,0.7958816264735187,-0.050399504816092684,0.1913188214373775,0.9966155347349132,None
City_1,City_12,0.8428231810445165,0.08635202533992511,0.028810560833903175,0.23612307431632734,None
City_1,City_13,0.05304297081261701,0.01428520580247458,0.4254199191950748,1.272481695142636,None
City_1,City_14,0.8463871890182079,,,,None
City_1,City_15,0.025992476380545405,0.025992476380545405,0.5528746400189692,0.3842199695537599,None
City_1,City_16,0.805539521885586,0.21829604789182813,0.017681798549722974,1.0917562004736163,None
City_1,City_17,0.836372140931046,-0.08074000765715984,0.05354429248880186,0.22175354220283577,None
City_1,City_18,0.8467928738948289,0.8467928738948289,6.377158277990699e-12,0.7519937319967167,Tier 1 (Strict)
City_1,City_19,0.8462022703509213,0.04983417072564316,0.21472199471160022,0.24373645914860112,None
City_1,City_2,0.8487743424239685,-0.07504369390545167,0.13356304781122133,0.2255576152861209,None
City_1,City_20,0.8250372618641286,0.017037560588912638,0.05564714005524784,0.9299227229042901,None
City_1,City_3,0.06374188022587428,0.06374188022587428,0.9356115417455655,0.8908732103303562,None
City_1,City_4,-0.012670517341996911,-0.012670517341996913,0.6794015860184288,0.8011278755523172,None
City_1,City_5,0.7862983603486643,0.00233737533082661,0.38042268774843757,1.0318293260408289,None
City_1,City_6,-0.04466409405315538,-0.04466409405315538,0.06348357711158092,0.7884341104902179,None
City_1,City_7,-0.005180723168702756,-0.005180723168702756,0.9198819312829037,0.84854671494387,None
City_1,City_8,0.8469751332815133,,,,None
City_1,City_9,0.8491070377215288,-0.1568837580528839,0.3271495529785763,0.21951011339496013,None
City_1,City_High_Variance,0.4078524805590311,0.13844498073653094,0.44920676778351487,2.122921925460007,None
City_1,City_Spurious,0.762934161692079,0.01622900276518004,0.7052110194836645,0.6866241420627538,None
City_10,Barcelona,0.10049197334692414,-0.0317842068981888,0.8310815879820935,0.09537550654035454,None
City_10,City_1,0.023248922234162056,-0.057957240187949524,0.007252178986786831,0.3754600713364493,None
City_10,City_11,-0.0017923887273043873,-0.036525752736776815,0.7932198449295503,0.37418933976658403,None
City_10,City_12,0.10266470157441333,0.1445185857324282,0.6068054255142572,0.09197823906047453,None
City_10,City_13,0.12271979777418407,0.13313605940278014,0.538546115351966,1.0400459190507683,None
City_10,City_14,0.0997698945960904,,,,None
City_10,City_15,-0.05641357095774271,-0.05641357095774271,0.9199722956713949,0.47096498021689304,None
City_10,City_16,0.04019512786366204,-0.05610970202222767,0.8022010374905321,0.40991086091183476,None
City_10,City_17,0.09280768434387117,-0.10841740866198646,0.37815575550338365,0.0863808010983071,None
City_10,City_18,0.10127579962613842,0.1012757996261384,0.24333872293084116,0.9217707073486895,None
City_10,City_19,0.10377337877128996,0.0809319926013142,0.9168915133472426,0.0949439201240039,None
City_10,City_2,0.10288893397145776,0.07909672863995153,0.6933517111175176,0.08786262130783552,None
City_10,City_20,0.08196026009605849,0.03945890043617911,0.6975914513263375,0.362237594791234,None
City_10,City_3,0.11437279983698359,0.11437279983698359,0.3110255851757219,1.0920048855510882,None
City_10,City_4,0.019828089596138413,0.01982808959613841,0.41341979825303987,0.981997824056114,None
City_10,City_5,0.057008769344552755,0.18808471956203962,0.09059129053385664,0.38741071236233005,None
City_10,City_6,-0.09360367564574625,-0.09360367564574623,0.6979824659381775,0.9664381986199536,None
City_10,City_7,0.10010149874207482,0.10010149874207482,0.7836478504132374,1.0401223738599366,None
City_10,City_8,0.10384412444283607,,,,None
City_10,City_9,0.0958305135389897,0.035842883424958984,0.5249286008665901,0.08550690670317694,None
City_10,City_High_Variance,0.07136080427882782,-0.0026933250846749622,0.28977630630607204,0.7970724175749266,None
City_10,City_Spurious,0.09815367699719298,0.004940860135679175,0.6483241576571004,0.25779994936020983,None
City_11,Barcelona,0.8059679701683984,0.09453396535464172,0.42951513536677455,0.25488568594671596,None
City_11,City_1,0.7958816264735187,-0.050399504816092684,0.34927208063765713,1.0033959587695842,None
City_11,City_10,-0.0017923887273043875,-0.0017923887273043873,0.7289865142349985,0.805318840257744,None
City_11,City_12,0.8496859164608317,0.06926427976525885,0.08334066824747491,0.24605681480497218,None
City_11,City_13,0.11188581124516166,0.06109181333390402,0.7115628507329438,1.2845193847338041,None
City_11,City_14,0.8580778140205885,,,,None
City_11,City_15,0.0488653690392579,0.0488653690392579,0.4048439784009922,0.3792769716702797,None
City_11,City_16,0.7950820691646805,-0.14794923341752042,0.10102554379407937,1.0954637595168626,None
City_11,City_17,0.8477920884317728,0.022119043707827902,0.7920190969453941,0.231082753873736,None
City_11,City_18,0.849107291439995,0.8491072914399949,8.010493115361131e-11,0.742319317025607,Tier 1 (Strict)
City_11,City_19,0.850418214138389,0.04242140703862692,0.116958309960461,0.25399049611561,None
City_11,City_2,0.8551882673554274,0.10288576150525702,0.0735879638748342,0.2350468650003958,None
City_11,City_20,0.8273895784942701,0.0006547162741521394,0.35386595823968703,0.9690447402275522,None
City_11,City_3,0.029010418320989398,0.029010418320989398,0.05157728384118754,0.8794121079877929,None
City_11,City_4,-0.004631596412894007,-0.004631596412894008,0.7902908651258678,0.790821348804498,None
