Date,City,Value
2023-01-01,City_1,39.71221679435369
2023-01-02,City_1,33.72263159669943
2023-01-03,City_1,39.582261321121095
2023-01-04,City_1,35.41417957894678
2023-01-05,City_1,30.02087311845164
2023-01-06,City_1,42.38351188238838
2023-01-07,City_1,34.3718030792451
2023-01-08,City_1,40.06335922259359
2023-01-09,City_1,39.157264815890635
2023-01-10,City_1,45.32537571846936
2023-01-11,City_1,41.852551656396905
2023-01-12,City_1,44.844135369545526
2023-01-13,City_1,38.918285798182495
2023-01-14,City_1,56.20221559072441
2023-01-15,City_1,41.04162751474482
2023-01-16,City_1,54.4293198127235
2023-01-17,City_1,49.53527262713709
2023-01-18,City_1,50.870253272081904
2023-01-19,City_1,51.735264731905
2023-01-20,City_1,40.73560189985071
2023-01-21,City_1,57.1167356702717
2023-01-22,City_1,49.079054218398106
2023-01-23,City_1,58.1675951872425
2023-01-24,City_1,50.711087435882774
2023-01-25,City_1,50.310534059721135
2023-01-26,City_1,46.24819664633121
2023-01-27,City_1,48.187740313719836
2023-01-28,City_1,55.05138696212538
2023-01-29,City_1,45.763703823284644
2023-01-30,City_1,42.42626980166523
2023-01-31,City_1,47.738363402593144
2023-02-01,City_1,57.47468330685473
2023-02-02,City_1,60.78242695925089
2023-02-03,City_1,47.52930180543107
2023-02-04,City_1,43.915231790194575
2023-02-05,City_1,48.28239903920397
2023-02-06,City_1,51.29186524180254
2023-02-07,City_1,51.432035896452376
2023-02-08,City_1,59.02262259130839
2023-02-09,City_1,49.78625834098552
2023-02-10,City_1,56.60431088873388
2023-02-11,City_1,44.98760946569192
2023-02-12,City_1,46.846965283739976
2023-02-13,City_1,42.59445006733772
2023-02-14,City_1,40.68366950509326
2023-02-15,City_1,42.43190971373983
2023-02-16,City_1,41.693561259389476
2023-02-17,City_1,40.16595851532898
2023-02-18,City_1,39.17948555375452
2023-02-19,City_1,45.307156299919534
2023-02-20,City_1,50.79959944577107
2023-02-21,City_1,36.47603888484452
2023-02-22,City_1,36.3352389565348
2023-02-23,City_1,40.52613535622538
2023-02-24,City_1,53.2747517901938
2023-02-25,City_1,36.901327379358655
2023-02-26,City_1,39.50159403377368
